id,input_address,formatted_address,street,house_number,city,latitude,longitude,created_at,updated_at
18,Simulated address near Branch Den Bosch,"Schansweg 3A-39, Uden",Schansweg,3A-39,Uden,51.66636680944717,5.57512432074865,2026-06-27 13:15:14,2026-06-27 13:15:14
19,Simulated address near Branch Den Bosch,"Strijbosscheweg 28, Handel",Strijbosscheweg,28,Handel,51.58304273480686,5.705690359962822,2026-06-27 13:15:18,2026-06-27 13:15:18
20,Simulated address near Branch Den Bosch,"Hurksestraat 22, Eindhoven",Hurksestraat,22,Eindhoven,51.433989139554086,5.438142074046116,2026-06-27 13:15:23,2026-06-27 13:15:23
21,Simulated address near Branch Den Bosch,"Patersweg 11A, Uden",Patersweg,11A,Uden,51.66685921579038,5.657201467025175,2026-06-27 13:15:26,2026-06-27 13:15:26
22,Simulated address near Branch Den Bosch,"Leeuwkesgraaf 15, Maren-Kessel",Leeuwkesgraaf,15,Maren-Kessel,51.76127524117917,5.370671135653371,2026-06-27 13:15:34,2026-06-27 13:15:34
23,Simulated address near Branch Den Bosch,"Spijkse Kweldijk 79S, Spijk",Spijkse Kweldijk,79S,Spijk,51.853482682670645,5.002023049864669,2026-06-27 13:15:45,2026-06-27 13:15:45
24,Simulated address near Branch Den Bosch,"Doornboomstraat 7, Middelbeers",Doornboomstraat,7,Middelbeers,51.466667925937244,5.250011652916351,2026-06-27 13:15:48,2026-06-27 13:15:48
25,Simulated address near Branch Den Bosch,"Hoolstraat 12, Berkel-Enschot",Hoolstraat,12,Berkel-Enschot,51.595161763058115,5.1586097453709305,2026-06-27 13:15:50,2026-06-27 13:15:50
26,Simulated address near Branch Den Bosch,"Schaijkseweg 8C-VAK, Herpen",Schaijkseweg,8C-VAK,Herpen,51.76588146926473,5.610292276614402,2026-06-27 13:15:58,2026-06-27 13:15:58
27,Simulated address near Branch Den Bosch,"Lingedijk 7, Kedichem",Lingedijk,7,Kedichem,51.860130959709586,5.029034497981046,2026-06-27 13:16:00,2026-06-27 13:16:00
28,Simulated address near Branch Den Bosch,"Kromvensedijk 7, Middelbeers",Kromvensedijk,7,Middelbeers,51.45502011685686,5.239734042056759,2026-06-27 13:16:06,2026-06-27 13:16:06
29,Simulated address near Branch Den Bosch,"Jan Spieringweg 1a, Oudendijk",Jan Spieringweg,1a,Oudendijk,51.807087135229494,4.975973555710601,2026-06-27 13:16:14,2026-06-27 13:16:14
30,Simulated address near Branch Den Bosch,"Rooiakker 1, Gemonde",Rooiakker,1,Gemonde,51.604818189261564,5.343504911459583,2026-06-27 13:16:20,2026-06-27 13:16:20
31,Simulated address near Branch Den Bosch,"Heidijk 51, Vlijmen",Heidijk,51,Vlijmen,51.68814268576011,5.2180896563842625,2026-06-27 13:16:22,2026-06-27 13:16:22
32,Simulated address near Branch Den Bosch,"Mekkersteeg 9, Druten",Mekkersteeg,9,Druten,51.846506638860724,5.608273256703307,2026-06-27 13:16:24,2026-06-27 13:16:24
33,Simulated address near Branch Den Bosch,"Koningin Julianaweg 6, Haghorst",Koningin Julianaweg,6,Haghorst,51.506470285016825,5.240335859969531,2026-06-27 13:16:26,2026-06-27 13:16:26
34,Simulated address near Branch Den Bosch,"Populier 8, Kaatsheuvel",Populier,8,Kaatsheuvel,51.65812954551992,5.015480546585143,2026-06-27 13:16:32,2026-06-27 13:16:32
35,Simulated address near Branch Den Bosch,"Hoog-Beugt 10, Heeswijk-Dinther",Hoog-Beugt,10,Heeswijk-Dinther,51.637579957999364,5.512820327461997,2026-06-27 13:16:35,2026-06-27 13:16:35
36,Simulated address near Branch Den Bosch,"Vijfhuizenbaan 32, Riel",Vijfhuizenbaan,32,Riel,51.52458842218833,4.982558906630447,2026-06-27 13:16:37,2026-06-27 13:16:37
37,Simulated address near Branch Den Bosch,"Leeuwerikstraat 26, Oirschot",Leeuwerikstraat,26,Oirschot,51.50598088678189,5.300709902488616,2026-06-27 13:16:38,2026-06-27 13:16:38
38,Simulated address near Branch Den Bosch,"Bleekeseweg 9, Vinkel",Bleekeseweg,9,Vinkel,51.69823613182007,5.481838864808371,2026-06-27 13:16:40,2026-06-27 13:16:40
39,Simulated address near Branch Den Bosch,"Zandstraat 4, Moergestel",Zandstraat,4,Moergestel,51.55005971269784,5.199422934660512,2026-06-27 13:16:43,2026-06-27 13:16:43
40,Simulated address near Branch Den Bosch,"'t Broek 3, Nistelrode",'t Broek,3,Nistelrode,51.707372232904326,5.537536451415094,2026-06-27 13:16:44,2026-06-27 13:16:44
41,Simulated address near Branch Den Bosch,"Wijenburgsestraat 9, Echteld",Wijenburgsestraat,9,Echteld,51.909106145906414,5.506947730344251,2026-06-27 13:16:51,2026-06-27 13:16:51
42,Simulated address near Branch Den Bosch,"Groenstraat 101a, Udenhout",Groenstraat,101a,Udenhout,51.6191787171716,5.147218938874779,2026-06-27 13:16:53,2026-06-27 13:16:53
43,Simulated address near Branch Den Bosch,"Eindsestraat 8, Drongelen",Eindsestraat,8,Drongelen,51.723140628722795,5.03994974224398,2026-06-27 13:16:59,2026-06-27 13:16:59
44,Simulated address near Branch Den Bosch,"Hoofdstraat 41, Best",Hoofdstraat,41,Best,51.51162294280828,5.39036768152751,2026-06-27 13:17:05,2026-06-27 13:17:05
45,Simulated address near Branch Den Bosch,"Tarwestraat 14, Langenboom",Tarwestraat,14,Langenboom,51.68489500032658,5.736264285915687,2026-06-27 13:17:13,2026-06-27 13:17:13
46,Simulated address near Branch Den Bosch,"Meulekensweg 3b, Liempde",Meulekensweg,3b,Liempde,51.57187174551477,5.3923966492660105,2026-06-27 13:17:15,2026-06-27 13:17:15
47,Simulated address near Branch Den Bosch,"Morkolf 4, Uden",Morkolf,4,Uden,51.65188352505215,5.6102430976191355,2026-06-27 13:17:17,2026-06-27 13:17:17
48,Simulated address near Branch Den Bosch,"Hoekeinde 31, Sleeuwijk",Hoekeinde,31,Sleeuwijk,51.821664804737615,4.958202623102312,2026-06-27 13:17:25,2026-06-27 13:17:25
49,Simulated address near Branch Den Bosch,"Lagestraat 56, Niftrik",Lagestraat,56,Niftrik,51.80771639759637,5.6800099987489725,2026-06-27 13:17:29,2026-06-27 13:17:29
50,Simulated address near Branch Den Bosch,"Van Heemstraweg 130, Dreumel",Van Heemstraweg,130,Dreumel,51.84282264898952,5.431923527900116,2026-06-27 13:17:33,2026-06-27 13:17:33
51,Simulated address near Branch Den Bosch,"De Kraan 2, Est",De Kraan,2,Est,51.84885246437115,5.30754546933676,2026-06-27 13:17:35,2026-06-27 13:17:35
52,Simulated address near Branch Den Bosch,"Donkerstraat 30a, Ravenswaaij",Donkerstraat,30a,Ravenswaaij,51.94733941430503,5.320013320302001,2026-06-27 13:17:41,2026-06-27 13:17:41
53,Simulated address near Branch Den Bosch,"Baan 30, Kaatsheuvel",Baan,30,Kaatsheuvel,51.64338182266461,5.014573647783449,2026-06-27 13:17:43,2026-06-27 13:17:43
54,Simulated address near Branch Den Bosch,"Zandstraat 1b, Heeswijk-Dinther",Zandstraat,1b,Heeswijk-Dinther,51.65265256037763,5.4961042908889,2026-06-27 13:17:45,2026-06-27 13:17:45
55,Simulated address near Branch Den Bosch,"Hoogeindsestraat 8, Esbeek",Hoogeindsestraat,8,Esbeek,51.449945145532,5.128981564587565,2026-06-27 13:17:47,2026-06-27 13:17:47
56,Simulated address near Branch Den Bosch,"Esscheweg 274A, Vught",Esscheweg,274A,Vught,51.62776936269561,5.279894965847964,2026-06-27 13:17:51,2026-06-27 13:17:51
57,Simulated address near Branch Den Bosch,"Dongenseweg 67, Tilburg",Dongenseweg,67,Tilburg,51.58885859684091,5.033664383471708,2026-06-27 13:17:59,2026-06-27 13:17:59
58,Simulated address near Branch Den Bosch,"Hendriksweg 8, Langenboom",Hendriksweg,8,Langenboom,51.68881088320193,5.742850665235406,2026-06-27 13:18:03,2026-06-27 13:18:03
59,Simulated address near Branch Den Bosch,"Aalskamperweg 2, Enspijk",Aalskamperweg,2,Enspijk,51.86229187587165,5.206342708603438,2026-06-27 13:18:09,2026-06-27 13:18:09
60,Simulated address near Branch Den Bosch,"Gewandhuis 6, Boekel",Gewandhuis,6,Boekel,51.614660969806174,5.67099829835452,2026-06-27 13:18:15,2026-06-27 13:18:15
61,Simulated address near Branch Den Bosch,"Lekbandijk 83, Ravenswaaij",Lekbandijk,83,Ravenswaaij,51.95297963900382,5.321601029126651,2026-06-27 13:18:21,2026-06-27 13:18:21
62,Simulated address near Branch Den Bosch,"Brugstraat 86, Vinkel",Brugstraat,86,Vinkel,51.700172778888444,5.447009934008927,2026-06-27 13:18:23,2026-06-27 13:18:23
63,Simulated address near Branch Den Bosch,"Lingedijk 85, Kedichem",Lingedijk,85,Kedichem,51.866926228128804,5.050246532175288,2026-06-27 13:18:27,2026-06-27 13:18:27
64,Simulated address near Branch Den Bosch,"Spaanderstraat 229, Berghem",Spaanderstraat,229,Berghem,51.773095143371776,5.554083482748702,2026-06-27 13:18:29,2026-06-27 13:18:29
65,Simulated address near Branch Den Bosch,"Burensedijk 11, Buurmalsen",Burensedijk,11,Buurmalsen,51.89379896919825,5.3049299860265045,2026-06-27 13:18:33,2026-06-27 13:18:33
66,Simulated address near Branch Den Bosch,"Zijp 15, Venhorst",Zijp,15,Venhorst,51.6084219696153,5.706280500075093,2026-06-27 13:18:37,2026-06-27 13:18:37
67,Simulated address near Branch Den Bosch,"Havendijk 22, Beesd",Havendijk,22,Beesd,51.88716404866993,5.199043031013366,2026-06-27 13:18:39,2026-06-27 13:18:39
68,Simulated address near Branch Den Bosch,"Merodelaan 30, Oisterwijk",Merodelaan,30,Oisterwijk,51.57204654896334,5.19367472188851,2026-06-27 13:18:45,2026-06-27 13:18:45
69,Simulated address near Branch Den Bosch,"Kempenlandstraat 1, Reek",Kempenlandstraat,1,Reek,51.748638408056166,5.6859078335112905,2026-06-27 13:18:47,2026-06-27 13:18:47
70,Simulated address near Branch Den Bosch,"De Bunders 7A, Volkel",De Bunders,7A,Volkel,51.66411330008758,5.677396256278894,2026-06-27 13:18:49,2026-06-27 13:18:49
71,Simulated address near Branch Den Bosch,"Meikampgraaf 4, Hellouw",Meikampgraaf,4,Hellouw,51.83953945394212,5.161313223572205,2026-06-27 13:18:51,2026-06-27 13:18:51
72,Simulated address near Branch Den Bosch,"Waalbandijk 13, Boven-Leeuwen",Waalbandijk,13,Boven-Leeuwen,51.89086204642536,5.552672437089361,2026-06-27 13:18:53,2026-06-27 13:18:53
73,Simulated address near Branch Den Bosch,"Abdijhof 20, Uden",Abdijhof,20,Uden,51.653844739738354,5.611385091386147,2026-06-27 13:18:55,2026-06-27 13:18:55
74,Simulated address near Branch Den Bosch,"Volderstraatje 1, 's-Hertogenbosch",Volderstraatje,1,'s-Hertogenbosch,51.685596038846064,5.3066436712195175,2026-06-27 13:18:57,2026-06-27 13:18:57
75,Simulated address near Branch Den Bosch,"Huijgevoort 24, Oost West en Middelbeers",Huijgevoort,24,Oost West en Middelbeers,51.463271142437115,5.213379821097406,2026-06-27 13:19:01,2026-06-27 13:19:01
76,Simulated address near Branch Den Bosch,"Ophemertsestraat 16, Tiel",Ophemertsestraat,16,Tiel,51.859587374301476,5.349675461561054,2026-06-27 13:19:03,2026-06-27 13:19:03
77,Simulated address near Branch Den Bosch,"Broekeindsedijk 2, Oost West en Middelbeers",Broekeindsedijk,2,Oost West en Middelbeers,51.437358397721425,5.216062449797431,2026-06-27 13:19:07,2026-06-27 13:19:07
78,Simulated address near Branch Den Bosch,"Hogeweg 5c, Nieuwaal",Hogeweg,5c,Nieuwaal,51.80400565977182,5.188688531098237,2026-06-27 13:19:14,2026-06-27 13:19:14
79,Simulated address near Branch Den Bosch,"Intendanceplantsoen 1-18, Velp",Intendanceplantsoen,1-18,Velp,51.74628941619979,5.732548017309591,2026-06-27 13:19:17,2026-06-27 13:19:17
80,Simulated address near Branch Den Bosch,"Kerkweg 7, Heukelum",Kerkweg,7,Heukelum,51.86108306308973,5.075584844635705,2026-06-27 13:19:21,2026-06-27 13:19:21
81,Simulated address near Branch Den Bosch,"Loofaert 40, Berlicum",Loofaert,40,Berlicum,51.69797328413965,5.395060823689365,2026-06-27 13:19:50,2026-06-27 13:19:50
82,Simulated address near Branch Den Bosch,"Noordstraat 49, Landhorst",Noordstraat,49,Landhorst,51.63444541121324,5.752618274092865,2026-06-27 13:19:53,2026-06-27 13:19:53
83,Simulated address near Branch Den Bosch,"Abersland 2718, Wijchen",Abersland,2718,Wijchen,51.79815843451621,5.719519704707596,2026-06-27 13:20:02,2026-06-27 13:20:02
84,Simulated address near Branch Den Bosch,"Princepeelweg 43, Wilbertoord",Princepeelweg,43,Wilbertoord,51.657025399007566,5.756991009486558,2026-06-27 13:20:03,2026-06-27 13:20:03
85,Simulated address near Branch Den Bosch,"Leurke 6, Boekel",Leurke,6,Boekel,51.593280300930985,5.673739408279224,2026-06-27 13:20:08,2026-06-27 13:20:08
86,Simulated address near Branch Den Bosch,"Esdoornstraat 109, 's-Hertogenbosch",Esdoornstraat,109,'s-Hertogenbosch,51.69337725599284,5.324259940117196,2026-06-27 13:20:16,2026-06-27 13:20:16
87,Simulated address near Branch Den Bosch,"Baan 40A, Kaatsheuvel",Baan,40A,Kaatsheuvel,51.6452636653199,5.019152640410407,2026-06-27 13:20:17,2026-06-27 13:20:17
88,Simulated address near Branch Den Bosch,"Wemeldingestraat 30, Tilburg",Wemeldingestraat,30,Tilburg,51.57186343350449,5.003964532984226,2026-06-27 13:20:19,2026-06-27 13:20:19
89,Simulated address near Branch Den Bosch,"Kooiweg 1, Dreumel",Kooiweg,1,Dreumel,51.830759232010784,5.4444715728845745,2026-06-27 13:20:21,2026-06-27 13:20:21
90,Simulated address near Branch Den Bosch,"Bovenstehuis 2b, Boekel",Bovenstehuis,2b,Boekel,51.611779860512854,5.682650415829451,2026-06-27 13:20:27,2026-06-27 13:20:27
91,Simulated address near Branch Den Bosch,"Gouverneur Crommelinlaan 7, Sint-Oedenrode",Gouverneur Crommelinlaan,7,Sint-Oedenrode,51.557532732460984,5.463691460996275,2026-06-27 13:20:30,2026-06-27 13:20:30
92,Simulated address near Branch Den Bosch,"Duifhuizerweg 15, Uden",Duifhuizerweg,15,Uden,51.63475185978252,5.596803508531099,2026-06-27 13:20:32,2026-06-27 13:20:32
93,Simulated address near Branch Den Bosch,"Turnhoutsebaan 13, Goirle",Turnhoutsebaan,13,Goirle,51.491413695472765,5.0590552684640375,2026-06-27 13:20:37,2026-06-27 13:20:37
94,Simulated address near Branch Den Bosch,"Poeldonkweg 47D, 's-Hertogenbosch",Poeldonkweg,47D,'s-Hertogenbosch,51.682223497643214,5.340860917334295,2026-06-27 13:20:41,2026-06-27 13:20:41
95,Simulated address near Branch Den Bosch,"Mispelhoefstraat 37, Eindhoven",Mispelhoefstraat,37,Eindhoven,51.470406548029445,5.408802337453284,2026-06-27 13:20:45,2026-06-27 13:20:45
96,Simulated address near Branch Den Bosch,"Baandervrouwenlaan 263, Boxtel",Baandervrouwenlaan,263,Boxtel,51.60527878965923,5.320066521557213,2026-06-27 13:20:54,2026-06-27 13:20:54
97,Simulated address near Branch Den Bosch,"Benedenkerkstraat 37, Waspik",Benedenkerkstraat,37,Waspik,51.68456082956303,4.938659427428364,2026-06-27 13:20:58,2026-06-27 13:20:58
98,Simulated address near Branch Den Bosch,"Zandstraat 15, Berkel-Enschot",Zandstraat,15,Berkel-Enschot,51.564213776879505,5.128934714582875,2026-06-27 13:21:08,2026-06-27 13:21:08
99,Simulated address near Branch Den Bosch,"Erichemseweg 10A, Erichem",Erichemseweg,10A,Erichem,51.90186820624076,5.344665038415328,2026-06-27 13:21:14,2026-06-27 13:21:14
100,Simulated address near Branch Den Bosch,"Middelweg 8, Rossum",Middelweg,8,Rossum,51.79268981741983,5.284572686651157,2026-06-27 13:21:20,2026-06-27 13:21:20
101,Simulated address near Branch Den Bosch,"Molenstraat 91, Nederhemert",Molenstraat,91,Nederhemert,51.76136061952885,5.154957894403916,2026-06-27 13:21:24,2026-06-27 13:21:24
102,Simulated address near Branch Den Bosch,"Oude Weidesteeg 6a, Eethen",Oude Weidesteeg,6a,Eethen,51.74101117227245,5.0531848200107685,2026-06-27 13:21:26,2026-06-27 13:21:26
103,Simulated address near Branch Den Bosch,"Rouwven 2, Wintelre",Rouwven,2,Wintelre,51.45476144060171,5.321306059901518,2026-06-27 13:21:34,2026-06-27 13:21:34
104,Simulated address near Branch Den Bosch,"Schepersweg 5G, Oost West en Middelbeers",Schepersweg,5G,Oost West en Middelbeers,51.448573749648666,5.215438753823602,2026-06-27 13:21:36,2026-06-27 13:21:36
105,Simulated address near Branch Den Bosch,"Groenendijk 64, Oosteind",Groenendijk,64,Oosteind,51.672568713747395,4.92057246251767,2026-06-27 13:21:44,2026-06-27 13:21:44
106,Simulated address near Branch Den Bosch,"Stoffels 106, Uden",Stoffels,106,Uden,51.67236406711627,5.63156100431511,2026-06-27 13:21:46,2026-06-27 13:21:46
107,Simulated address near Branch Den Bosch,"Zeelandsedijk 13, Volkel",Zeelandsedijk,13,Volkel,51.650102568266384,5.672471537190438,2026-06-27 13:21:52,2026-06-27 13:21:52
108,Simulated address near Branch Den Bosch,"Kersouwelaan 1, Heeswijk-Dinther",Kersouwelaan,1,Heeswijk-Dinther,51.666696406626286,5.450373666410257,2026-06-27 13:21:54,2026-06-27 13:21:54
109,Simulated address near Branch Den Bosch,"Burgemeester Schrevensingel 5, Veghel",Burgemeester Schrevensingel,5,Veghel,51.62364733152437,5.537474284779573,2026-06-27 13:21:56,2026-06-27 13:21:56
110,Simulated address near Branch Den Bosch,"Oude Bosschebaan 7, Udenhout",Oude Bosschebaan,7,Udenhout,51.63855589360465,5.136103367212954,2026-06-27 13:22:00,2026-06-27 13:22:00
111,Simulated address near Branch Den Bosch,"Prins Willemsweg 7, Echteld",Prins Willemsweg,7,Echteld,51.89192969856319,5.476618229417303,2026-06-27 13:22:02,2026-06-27 13:22:02
112,Simulated address near Branch Den Bosch,"Palmstraat 9, Schaijk",Palmstraat,9,Schaijk,51.72976906125494,5.602937431365714,2026-06-27 13:22:06,2026-06-27 13:22:06
113,Simulated address near Branch Den Bosch,"Korfgraaf 8, Hellouw",Korfgraaf,8,Hellouw,51.82790420932679,5.173042677159087,2026-06-27 13:22:08,2026-06-27 13:22:08
114,Simulated address near Branch Den Bosch,"Ophemertsestraat 13, Wadenoijen",Ophemertsestraat,13,Wadenoijen,51.84975579056329,5.342305352891522,2026-06-27 13:22:14,2026-06-27 13:22:14
115,Simulated address near Branch Den Bosch,"Canadesestraat 15, Waalwijk",Canadesestraat,15,Waalwijk,51.686684261676916,5.074285853679946,2026-06-27 13:22:16,2026-06-27 13:22:16
116,Simulated address near Branch Den Bosch,"Sprangseweg 13c, Waalwijk",Sprangseweg,13c,Waalwijk,51.68041057954466,5.050699314162775,2026-06-27 13:22:21,2026-06-27 13:22:21
117,Simulated address near Branch Den Bosch,"Molenweg 18, Berghem",Molenweg,18,Berghem,51.77051770180703,5.570990719647225,2026-06-27 13:22:30,2026-06-27 13:22:30
118,Simulated address near Branch Den Bosch,"Heirbaan 12, Moergestel",Heirbaan,12,Moergestel,51.52774316117911,5.225174560672285,2026-06-27 13:22:36,2026-06-27 13:22:36
119,Simulated address near Branch Den Bosch,"Lekkerbeetjenlaan 19, Vught",Lekkerbeetjenlaan,19,Vught,51.65574377182566,5.276384293582298,2026-06-27 13:22:38,2026-06-27 13:22:38
120,Simulated address near Branch Den Bosch,"De Amert 706B, Veghel",De Amert,706B,Veghel,51.625710082062525,5.50941480309789,2026-06-27 13:22:44,2026-06-27 13:22:44
121,Simulated address near Branch Den Bosch,"Den Hul 1, Lith",Den Hul,1,Lith,51.80138167692151,5.440189058079299,2026-06-27 13:22:51,2026-06-27 13:22:51
122,Simulated address near Branch Den Bosch,"Sint-Michielsgestelseweg 22B, Vught",Sint-Michielsgestelseweg,22B,Vught,51.64705648044498,5.317488220150647,2026-06-27 13:22:53,2026-06-27 13:22:53
123,Simulated address near Branch Den Bosch,"Grotel 11, Bakel",Grotel,11,Bakel,51.524428560032064,5.683190989143635,2026-06-27 13:22:54,2026-06-27 13:22:54
124,Simulated address near Branch Den Bosch,"Schoolstraat 4, Sprang-Capelle",Schoolstraat,4,Sprang-Capelle,51.68874232031526,4.981106686546619,2026-06-27 13:22:58,2026-06-27 13:22:58
125,Simulated address near Branch Den Bosch,"Bernadettestraat 41, Rosmalen",Bernadettestraat,41,Rosmalen,51.70563239641396,5.383151785355574,2026-06-27 13:23:03,2026-06-27 13:23:03
126,Simulated address near Branch Den Bosch,"Udenhoutseweg 7, Helvoirt",Udenhoutseweg,7,Helvoirt,51.6369332949841,5.197245160254264,2026-06-27 13:23:04,2026-06-27 13:23:04
127,Simulated address near Branch Den Bosch,"Duifhuisstraat 3, Schaijk",Duifhuisstraat,3,Schaijk,51.72354538136103,5.652805440183684,2026-06-27 13:23:06,2026-06-27 13:23:06
128,Simulated address near Branch Den Bosch,"Bossebaan 12, Haaren",Bossebaan,12,Haaren,51.59706271675845,5.22131332703989,2026-06-27 13:23:10,2026-06-27 13:23:10
129,Simulated address near Branch Den Bosch,"Zandstraat 5a, Kerkdriel",Zandstraat,5a,Kerkdriel,51.77102370077552,5.355356410141239,2026-06-27 13:23:16,2026-06-27 13:23:16
130,Simulated address near Branch Den Bosch,"Papenvoortse Heide 8A, Nuenen",Papenvoortse Heide,8A,Nuenen,51.472846919981635,5.588695065729153,2026-06-27 13:23:20,2026-06-27 13:23:20
131,Simulated address near Branch Den Bosch,"Waalbandijk 107a, Beneden-Leeuwen",Waalbandijk,107a,Beneden-Leeuwen,51.885969445756416,5.502187928614231,2026-06-27 13:23:23,2026-06-27 13:23:23
132,Simulated address near Branch Den Bosch,"Costerman Boodtstraat 24, Goirle",Costerman Boodtstraat,24,Goirle,51.52689839614786,5.073936017820228,2026-06-27 13:23:24,2026-06-27 13:23:24
133,Simulated address near Branch Den Bosch,"Wolput 94, Vlijmen",Wolput,94,Vlijmen,51.695517776735116,5.194766174987396,2026-06-27 13:23:26,2026-06-27 13:23:26
134,Simulated address near Branch Den Bosch,"Luttel Inghweg 4, Kerkdriel",Luttel Inghweg,4,Kerkdriel,51.77685929578775,5.316954475541784,2026-06-27 13:23:30,2026-06-27 13:23:30
135,Simulated address near Branch Den Bosch,"Spierkesweg 20, Sint-Oedenrode",Spierkesweg,20,Sint-Oedenrode,51.56195153774252,5.538691709059015,2026-06-27 13:23:34,2026-06-27 13:23:34
136,Simulated address near Branch Den Bosch,"Trentweg 5, Keldonk",Trentweg,5,Keldonk,51.57910681994223,5.591783192003401,2026-06-27 13:23:36,2026-06-27 13:23:36
137,Simulated address near Branch Den Bosch,"Provincialeweg 110, Velddriel",Provincialeweg,110,Velddriel,51.76846953738098,5.297785156249451,2026-06-27 13:23:40,2026-06-27 13:23:40
138,Simulated address near Branch Den Bosch,"Giessensesteeg 2a, Giessen",Giessensesteeg,2a,Giessen,51.78516317072726,5.026285342180342,2026-06-27 13:23:42,2026-06-27 13:23:42
139,Simulated address near Branch Den Bosch,"Garnichweg 33, Eindhoven",Garnichweg,33,Eindhoven,51.47486899858799,5.47598279688943,2026-06-27 13:23:44,2026-06-27 13:23:44
140,Simulated address near Branch Den Bosch,"Heesbeenseweg 3, Heesbeen",Heesbeenseweg,3,Heesbeen,51.733420779418815,5.120901185461051,2026-06-27 13:23:49,2026-06-27 13:23:49
141,Simulated address near Branch Den Bosch,"Vaartstraat 31, Kaatsheuvel",Vaartstraat,31,Kaatsheuvel,51.66195093970218,5.0473098663474785,2026-06-27 13:23:53,2026-06-27 13:23:53
142,Simulated address near Branch Den Bosch,"Langenboomseweg 147, Langenboom",Langenboomseweg,147,Langenboom,51.69253058992317,5.740695418984856,2026-06-27 13:23:59,2026-06-27 13:23:59
143,Simulated address near Branch Den Bosch,"Regge 81, Tilburg",Regge,81,Tilburg,51.54671306392525,5.046199816755654,2026-06-27 13:24:19,2026-06-27 13:24:19
144,Simulated address near Branch Den Bosch,"Wilhelminastraat 5, Boekel",Wilhelminastraat,5,Boekel,51.60537430100715,5.6713412875455305,2026-06-27 13:24:25,2026-06-27 13:24:25
145,Simulated address near Branch Den Bosch,"Grolderseweg 23, Heesch",Grolderseweg,23,Heesch,51.70766874320219,5.515507310077304,2026-06-27 13:24:41,2026-06-27 13:24:41
